Country,Code,Deforest,Rural,CO2,GNI,EnergyUse,LifeExp,Fertility,InfMort,Pop,PrimFem,PrimMal,Exports,Imports,CellPhone,RuralWater,log.Exports,log.Imports,log.GNI,log.Energy,new.forest,log.CO2
Mongolia,MNG,14.37460115,29.634,4.243208522,3080,1309.777871,67.33943902,2.446,26.4,2839073,113.884,114.21015,62.34172847,86.83921096,124.1841263,61.2,4.132631,4.464058259,8.032684876,7.177612838,3.791385123,1.468613366
Montenegro,MNE,0,36.357,4.163295585,6950,1899.763794,74.64987805,1.676,4.9,621383,,,42.75112397,64.92090437,159.9499825,95.3,3.755395487,4.173169673,8.846496939,7.549484838,0,1.450042473
Morocco,MAR,-2.02020202,40.8,1.599383453,2910,539.0825175,70.64312195,2.706,26.1,33008150,81.3698,86.31163,35.57531893,48.68572041,128.5252097,63.6,3.571652109,3.885385772,7.97590836,6.289868653,-1.421338109,0.530265511
Mozambique,MOZ,11.01664438,68.331,0.120258277,510,415.0334276,49.83626829,5.263,61.5,25833752,55.10713,65.49964,30.78777726,60.51777249,48.00421557,35,3.427117769,4.102937082,6.234410726,6.028359065,3.319133077,-1.512954434
Myanmar,MMR,20.56249681,66.993,0.173212744,,268.4985508,64.93246341,1.959,39.8,53259018,96.77357,93.17369,,,12.82858801,81.1,,,,5.592845517,4.534588935,-1.297504507
Namibia,NAM,18.49349464,55.321,1.457397932,5700,716.6022282,63.88114634,3.107,35.2,2303315,84.64054,77.83731,41.35816745,52.94328777,110.2143649,87.4,3.722269922,3.969221299,8.648221454,6.574520914,4.300406334,0.443016436
Nepal,NPL,24.51733444,82.123,0.139872076,700,382.6365655,67.98270732,2.389,32.2,27797457,,,8.904030421,32.92422422,71.46285,87.6,2.186504031,3.494208685,6.551080335,5.947085623,4.951498202,-1.427649513
Netherlands,NLD,-5.797101449,10.729,10.95836494,48110,4637.767016,81.10487805,1.72,3.3,16804224,,,83.86537283,75.28107144,113.7299037,100,4.429212809,4.321228728,10.78124533,8.441988283,-2.407717062,2.403187149
New Caledonia,NCL,0,30.904,15.680092,,,76.25341463,2.149,,262000,,,,,93.76364544,98.5,,,,,0,2.758749146
New Zealand,NZL,-6.893782383,13.777,7.223514813,35550,4124.039998,81.15609756,2.05,5.2,4470800,,,31.36806326,29.60883493,105.7756947,100,3.445790282,3.388072794,10.47869544,8.324588544,-2.625601337,1.991090378
Nicaragua,NIC,34.1160833,41.854,0.780988797,1690,514.5019276,74.46539024,2.541,20,6080478,83.41894,77.42736,40.06117999,55.77831039,111.9801766,67.8,3.690407785,4.021385091,7.432483808,6.243199302,5.840897474,-0.12671037
Niger,NER,39.37275064,81.78,0.088827077,390,,57.96617073,7.574,59.9,17831270,35.13596,46.384,20.8936547,47.76692091,39.2922097,42.1,3.03944551,3.866333369,5.966146739,,6.274770963,-1.666923619
Nigeria,NGA,52.29314146,53.906,0.494090977,2460,720.6436453,52.10902439,6.002,74.3,173615345,71.52315,80.27022,31.32980522,21.46429968,73.29196161,49.1,3.444569888,3.066391075,7.807916629,6.580144764,7.231399689,-0.520722812
Northern Mariana Islands,MNP,11.79411765,10.687,,,,,,,53855,,,,,,97.5,,,,,3.434256491,
Norway,NOR,-11.91456736,20.061,11.69644457,98880,5680.652555,81.45121951,1.85,2.3,5084190,99.28981,99.45421,41.93788671,28.30179076,116.4772399,100,3.736189636,3.342925081,11.50166227,8.644821391,-3.45174845,2.467798178
Oman,OMN,0,23.301,20.40894323,25250,8356.291743,76.59104878,2.884,9.8,3632444,,,62.02005635,32.46704975,154.6459078,86.1,4.127457822,3.480225721,10.13658143,9.030770036,0,3.020861046
Pakistan,PAK,36.64424218,62.14,0.932118498,1250,481.6161688,66.43587805,3.264,69,182142594,60.26724,73.09349,13.96023127,18.96448916,70.13037598,89,2.636212664,2.942568239,7.13089883,6.177147466,6.053448784,0.031613484
Palau,PLW,-6.052631579,14.224,10.56927211,10550,,,,15.1,20918,,,63.99546347,74.0147227,90.3528062,,4.158812198,4.304264029,9.263881139,,-2.460209662,2.367367844
Panama,PAN,14.88924051,34.006,2.619052137,9030,1085.01097,77.36809756,2.493,15.4,3864170,92.00023,92.02719,79.28916007,79.05772381,162.9742998,86.6,4.373101424,4.370178267,9.108307646,6.989345376,3.858657863,1.000283341
Papua New Guinea,PNG,9.775084859,87.023,0.457108929,1790,,62.29892683,3.838,47.3,7321262,,,,,40.97654202,32.8,,,7.489970899,,3.126513211,-0.584994495
Paraguay,PRY,18.58581084,40.826,0.785657461,3320,739.0061336,72.19373171,2.897,18.7,6802295,91.25849,90.27471,52.63893649,50.09645333,103.6893284,83.4,3.963456083,3.913950214,8.107720062,6.605306221,4.311126401,-0.121425016
Peru,PER,3.512172872,22.046,1.967657742,5890,694.9951556,74.51553659,2.448,12.9,30375603,99.42055,98.68194,29.65538231,25.58645877,98.08298127,71.6,3.389643637,3.242063257,8.681011277,6.543904875,1.874079206,0.726416441
Philippines,PHL,-18.3348554,55.367,0.87314829,2950,425.5714709,68.55373171,3.076,23.5,98393574,,,31.96922092,35.61682849,104.5023215,91.2,3.464773594,3.572818237,7.989560449,6.053432903,-4.281921929,-0.027218803
Poland,POL,-5.751604549,39.383,8.308632041,12660,2629.172607,76.79756098,1.3,4.5,38530725,95.08609,95.63024,45.07073102,46.22165616,150.0184409,,3.808233056,3.833448436,9.446202696,7.874424477,-2.39825031,2.129258802
Portugal,PRT,-4.105801022,37.662,4.952293367,20620,2186.505878,80.37317073,1.28,3.1,10459806,,,35.68150289,40.05108511,113.035602,99.9,3.574632428,3.690155767,9.934016758,7.690060059,-2.026277627,1.619842272
Puerto Rico,PRI,-98.46689895,6.324,,18370,,78.53553659,1.644,,3615086,,,77.00210669,55.60475476,83.64642094,,4.343832781,4.018268715,9.818474178,,-9.923048874,
Qatar,QAT,,0.939,40.310084,78060,17418.68657,78.45380488,2.036,7,2168673,,,71.66602685,25.78996526,152.6441746,100,4.272016812,3.249985473,11.26523304,9.76529885,,3.699079358
Romania,ROU,-4.313294616,45.765,3.889250739,8560,1778.397479,74.56341463,1.53,10.5,19963581,94.20202,94.5352,40.03406451,45.36647911,105.5829217,,3.689730704,3.814773487,9.054855469,7.483467945,-2.076847278,1.383603429
Russian Federation,RUS,-0.032140429,26.149,12.22579516,12740,5113.234323,70.46097561,1.59,8.6,143499861,,,30.26933633,21.73487328,152.8353524,92.2,3.410135198,3.078918034,9.452501929,8.539587423,-0.179277519,2.511694234
Rwanda,RWA,-43.08176101,73.131,0.054818556,600,,63.49285366,4.616,37.1,11776522,56.17656,49.42904,13.65054602,29.61518461,56.80079399,68.3,2.613779522,3.388287223,6.396929655,,-6.563669782,-1.865501454
Samoa,WSM,-31.53846154,80.56,0.867327137,3260,,72.98204878,4.212,15.5,190372,106.39374,106.57277,33.60478882,56.98192993,,98.8,3.514668581,4.042734199,8.089482474,,-5.615911461,-0.03321854
San Marino,SMR,,5.856,,,,,1.26,2.8,31448,107.28477,95.93023,,,116.9549733,,,,,,,
Sao Tome and Principe,STP,0,36.098,0.555518774,1310,,66.13487805,4.145,36.7,192993,92.48234,84.55846,11.81813043,59.23883187,64.93966102,93.6,2.469634829,4.081577271,7.177782416,,0,-0.422328336
Saudi Arabia,SAU,0,17.281,17.03991344,24660,6738.415779,75.49690244,2.702,13.4,28828870,,,56.19425248,29.57058929,176.4978024,97,4.028814483,3.386780262,10.11293778,8.815580129,0,2.841409863
Senegal,SEN,10.21800988,56.921,0.545070856,1030,263.6518896,63.20217073,4.981,43.9,14133280,59.05258,56.74929,25.16680938,41.68648996,92.92798275,60.3,3.225526038,3.730177095,6.937314081,5.574629633,3.196562198,-0.438395115
Serbia,SRB,-21.39213143,44.627,6.303583821,5350,2237.376071,75.23414634,1.32,5.8,7163976,96.60488,96.30175,36.57138043,52.9799881,119.3917104,98.9,3.599265979,3.969914259,8.58485184,7.713059061,-4.625162855,1.856857806
Seychelles,SYC,0,46.769,7.842976495,11590,,72.72439024,2.4,12.2,89173,104.81928,105.60224,45.6071737,99.08916572,147.342683,96.3,3.820065022,4.596020109,9.357897936,,0,2.072288078
Sierra Leone,SLE,13.82937781,60.774,0.119853769,530,,45.32904878,4.782,107.2,6092075,,,16.32367765,53.74805094,44.13438771,42.4,2.79261667,3.984307405,6.272877007,,3.718787142,-1.514792642
Singapore,SGP,0,0,2.663192428,51090,6452.326331,82.14390244,1.29,2.2,5399200,,,200.1859231,173.778576,155.6006879,,5.29924655,5.157781937,10.84134406,8.772196016,0,1.016386688
Sint Maarten (Dutch part),SXM,,0,,,,,,,39689,,,,,,,,,,,,
Slovak Republic,SVK,-0.593132154,46.055,6.694753412,17070,3213.666905,76.1097561,1.34,6,5414095,101.55908,100.18531,89.16364501,86.55397735,113.9111556,100,4.490473389,4.460768235,9.745077816,8.075167902,-0.770150735,1.916150757
Slovenia,SVN,-5.808080808,50.236,7.482274333,22780,3531.064967,80.12439024,1.58,2.3,2060484,96.07079,96.93207,71.27394502,70.24379164,110.2112117,99.4,4.266530833,4.251971929,10.03363824,8.169354795,-2.409996018,2.025813199
Solomon Islands,SLB,5.258175559,78.579,0.383105992,1480,,67.50707317,4.099,25.1,561231,,,,,57.57076854,77.2,,,7.299797367,,2.293071207,-0.727519205
Somalia,SOM,20.38879498,61.388,0.063170514,,,54.6912439,6.667,89.8,10495583,,,,,49.38267841,,,,,,4.515395329,-1.812959528
South Africa,ZAF,0,36.212,9.040531461,7460,2740.84975,56.09831707,2.412,32.8,52981991,,,30.60592008,30.17355843,147.4645166,88.3,3.421193457,3.406965992,8.917310693,7.916023279,0,2.21271853
South Sudan,SSD,,81.61,,840,,54.64295122,5.01,64.1,11296173,,,59.87436775,25.09395371,25.25835962,55,4.092248496,3.222626929,6.733401892,,,
Spain,ESP,-34.06269901,20.871,5.78988435,29340,2686.419549,82.37804878,1.32,3.6,46647421,102.58519,103.99748,30.84284359,31.89318444,106.9052178,100,3.428904749,3.462392333,10.28670705,7.895964563,-5.836325814,1.773236362
Sri Lanka,LKA,22.09361702,81.7,0.615398344,2910,499.3383487,74.06804878,2.346,8.2,20483000,98.582,99.28357,23.055064,37.6083186,95.49632054,92.9,3.137885442,3.627225265,7.97590836,6.21328392,4.700384774,-0.334915767
St. Kitts and Nevis,KNA,0,68.108,4.763065403,13090,,,,7.8,54191,88.65546,88.88889,31.31655758,43.26560905,142.0900149,98.3,3.444146954,3.767358071,9.479603859,,0,1.581668981
St. Lucia,LCA,-7.305936073,81.541,2.273826502,7000,,74.67417073,1.936,12.7,182273,87.15013,92.10191,43.16973361,63.49452092,116.3090529,92.8,3.765139639,4.150953617,8.853665428,,-2.702949514,0.864503211
St. Martin (French part),MAF,,,,,,79.02195122,1.82,,31264,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,-6.166007905,50.152,1.912062278,6360,,72.40121951,2.021,17.2,109373,91.58607,96.58768,27.50986926,57.06743249,114.6334104,95.1,3.314544822,4.044233595,8.757783656,,-2.483144761,0.699160205
Sudan,SDN,100,66.54,0.310858607,1460,355.0787679,61.86395122,4.491,51.2,37964306,,,17.5770812,15.54541998,72.85231291,50.2,2.866595849,2.74376606,7.286191715,5.872339646,10,-0.889506147
Suriname,SUR,0.170546833,33.86,4.540441176,8680,,70.81139024,2.292,20.3,539276,,,,,127.3188497,88.4,,,9.068776808,,0.412973162,1.534809443
Swaziland,SWZ,-21.1440678,78.663,0.857473675,3100,,48.85063415,3.407,55.9,1249514,77.93899,75.42994,63.73750125,71.50715875,71.46778668,68.9,4.154773106,4.269797567,8.03915739,,-4.598267913,-0.043457052
Sweden,SWE,-3.379641509,14.486,5.599744235,56120,5190.339026,81.70487805,1.91,2.4,9592552,96.43117,96.96326,49.85546795,44.28076309,124.3952501,100,3.909128179,3.790550341,10.93524753,8.554554297,-1.838380132,1.740421303
Switzerland,CHE,-8.531711555,26.213,4.952967888,80950,3206.963679,82.69756098,1.52,3.6,8081482,97.5389,94.30921,51.25224315,40.87270659,133.79826,100,3.936759386,3.71046252,11.30158696,8.073079874,-2.920909371,1.619975771
Syrian Arab Republic,SYR,-35.21505376,43.145,2.872783035,,910.0484863,74.71070732,3.003,11.9,22845550,103.63112,104.40042,,,55.97464086,87.2,,,,6.81349788,-5.93422731,1.089498563
Tajikistan,TJK,-0.490196078,73.379,0.375001672,880,306.4949423,67.25717073,3.819,40.9,8207834,99.74043,102.22704,17.85194845,67.17264967,91.8281242,64,2.882112659,4.207266166,6.779921907,5.725201254,-0.700140042,-0.744436956
Tanzania,TZA,21.38522714,69.804,0.152229977,570,447.5707452,60.84643902,5.287,36.4,49253126,91.73339,87.26129,31.057416,50.21500688,55.71793149,44,3.43583762,3.916313924,6.345636361,6.103834615,4.62441641,-1.377414
Thailand,THA,2.80014323,52.057,4.446855558,5250,1789.636774,74.18797561,1.412,11.3,67010502,,,76.94351893,72.40697319,137.9828493,95.3,4.343071632,4.28230261,8.565983356,7.489767958,1.673362851,1.514435908
Timor-Leste,TLS,25.50724638,68.515,0.171932157,3980,,67.02058537,5.3,46.2,1178252,64.73622,62.18889,9.837809093,120.3314721,57.37594218,60.5,2.286233033,4.790250202,8.289037098,,5.050469916,-1.302202665
Togo,TGO,60.99270073,61.021,0.244233521,490,427.0510161,56.15034146,4.695,55.8,6816982,61.80673,80.67604,39.4346813,56.33009206,62.53490181,40.3,3.674645665,4.031228887,6.194405391,6.056903482,7.809782374,-1.066435013
Tonga,TON,0,76.44,1.514736114,4220,,72.489,3.815,10.4,105323,,,17.51975423,61.5431869,54.59396333,99.4,2.863329058,4.119739154,8.347590407,,0,0.479171546
Trinidad and Tobago,TTO,6.53926049,91.334,38.16113079,14780,15691.29356,69.81714634,1.799,19,1341151,94.98715,94.6823,88.12718474,62.8981084,144.9406517,,4.478781052,4.14151609,9.601030195,9.660861287,2.557197781,3.644434519
Tunisia,TUN,-61.55520995,33.544,2.453102066,4240,890.3793401,75.1,2.17,13.1,10886500,101.65307,101.79086,49.36790849,56.4357706,115.6035799,90.5,3.899300587,4.033103188,8.352318548,6.791647597,-7.845712839,0.937309116
Turkey,TUR,-19.54132231,27.63,4.131030767,10810,1539.293382,74.86243902,2.06,16.5,74932641,99.48299,100.9876,23.97664132,32.64746284,92.96497103,98.8,3.177080078,3.485767145,9.288226911,7.339078748,-4.420556788,1.442445644
Turkmenistan,TKM,0,50.65,10.52245312,5410,4838.796256,65.31358537,2.353,46.6,5240072,,,74.69608644,43.53129946,116.893432,53.7,4.3134277,3.773480207,8.596004372,8.484421261,0,2.362969979
Turks and Caicos Islands,TCA,0,8.518,5.205949731,,,,,,33098,,,,,,,,,,,0,1.668828782
Tuvalu,TUV,0,42.186,,5650,,,,24.4,9876,,,,,34.42689348,97,,,8.639410824,,0,
Uganda,UGA,40.82087981,84.563,0.111346111,480,,58.64797561,5.964,43.8,37578876,54.80828,55.78676,21.49334122,39.973079,44.09069074,71,3.067743177,3.688206203,6.173786104,,6.389121991,-1.554258152
Ukraine,UKR,-5.208108691,30.726,6.644867137,3640,2766.316028,70.94414634,1.531,8.6,45489600,98.89807,98.84599,54.37097135,60.58779844,138.0646549,97.7,3.995830396,4.104093527,8.199738961,7.92527176,-2.282128106,1.908781792
United Arab Emirates,ARE,-30.3755102,15.019,19.85379771,38620,7407.014109,76.95787805,1.82,7,9346129,96.26955,106.60984,90.31522755,72.27888068,171.8737993,100,4.503306079,4.28053198,10.56152556,8.910182683,-5.511398208,2.993419487
United Kingdom,GBR,-10.8923784,17.908,7.86256875,38300,2973.08106,81.5,1.9,3.9,64097085,,,32.06923901,33.58263872,123.7698841,100,3.467897284,3.514009229,10.55320518,7.997354088,-3.300360344,2.074751655
United States,USA,-2.852379908,18.723,17.56415999,52350,7032.464708,78.74146341,1.8805,5.9,316128839,98.10095,97.56276,13.52598849,17.18768106,95.52954726,98,2.604612908,2.84419291,10.86570722,8.858292522,-1.688899022,2.871537728
Uruguay,URY,-99.30434783,5.017,1.970533651,13670,1309.157183,76.90782927,2.056,9.5,3407062,103.99401,104.53597,26.76935781,27.24902289,154.618466,94.9,3.287257868,3.305017663,9.52295893,7.177138837,-9.965156688,0.727806376
Uzbekistan,UZB,-7.3136289,63.783,3.6566778,1700,1627.673061,68.104,2.53,36.7,30241100,90.97831,92.44743,33.08135115,31.24423345,74.30678167,80.9,3.498969714,3.44183483,7.43838353,7.394906704,-2.704372182,1.323535003
Vanuatu,VUT,0,74.492,0.496591183,2990,,71.41068293,3.419,14.6,252763,86.75198,80.89444,44.91749644,51.59174964,59.34412869,88.3,3.804827395,3.943361769,8.003028666,,0,-0.516523185
"Venezuela, RB",VEN,12.15968939,11.106,6.946437116,12460,2379.528027,74.4875122,2.417,12.9,30405207,94.65076,92.53861,29.94301596,19.69510787,101.614434,,3.399296107,2.980370274,9.430278792,7.774657439,3.487074617,1.952522115
Vietnam,VNM,-50.43255367,67.691,1.728118437,1550,696.8343693,75.60668293,1.768,19,89708900,,,79.39084443,83.52364724,130.8904335,93.6,4.374383052,4.425129792,7.34601021,6.546547749,-7.101588109,0.603287261
Virgin Islands (U.S.),VIR,15.60644614,4.936,,,,79.47317073,1.8,,104737,,,,,,100,,,,,3.95049948,
West Bank and Gaza,PSE,-0.991189427,25.2,0.620611834,2810,,73.01787805,4.076,18.6,4169506,91.87778,96.53743,15.44402729,59.08156271,73.74053318,82.3,2.737222346,4.078918908,7.940939762,,-0.995584967,-0.327654659
"Yemen, Rep.",YEM,0,66.55,0.959963332,1220,311.5511423,62.90578049,4.207,40.4,24407381,54.4489,74.94641,,,69.01477877,46.5,,,7.106606138,5.741563506,0,0.058234315
Zambia,ZMB,6.941666667,59.973,0.183669271,1410,620.6631667,57.02258537,5.731,55.8,14538640,105.48865,97.24027,46.04873094,37.03673511,71.50463179,49.2,3.829700204,3.611910261,7.251344983,6.43078853,2.634704284,-1.259946258
Zimbabwe,ZWE,32.45804006,67.346,0.720950743,800,697.0752028,58.04597561,3.564,55,14149648,,,42.85967965,77.7319661,96.3498668,68.7,3.757931516,4.353266577,6.684611728,6.5468933,5.697195807,-0.197292168
